Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Jai Prakash Narayan Yadav,285150,202953,31.7%,Rashtriya Janata Dal
2,Putul Kumari,275006,202953,30.6%,Bharatiya Janta Party
3,Sanjay Kumar -I,220708,5516,24.5%,Communist Party Of India
4,Naresh Kumar Priyadarshi,30814,210,3.4%,Independent
5,Alimuddin Ansari,12871,163,1.4%,Independent
6,Indraraj Singh Saini,11520,150,1.3%,Independent
7,Sargun Sah,11056,150,1.2%,Independent
8,Sanjay Kumar-Ii,10558,150,1.2%,Bahujan Samaj Party
9,Niraj Kumar,6058,135,0.7%,Aam Aadmi Party
10,Akhil Bhartiya Sharma,4721,135,0.5%,Independent
11,Subodh Narayan Jha,4412,135,0.5%,All India Trinamool Congress
12,Vijay Bharti,4317,135,0.5%,Rajnaitik Vikalp Party
13,Mithlesh Kumar Singh,2977,135,0.3%,National Loktantrik Party
14,Deepak Kumar,2481,135,0.3%,Socialist Unity Centre Of India (COMMUNIST)
15,Mukesh Kumar Sinha,2405,135,0.3%,Bhartiya Ekta Manch Party
16,Mahboob Alam Ansari,2280,135,0.3%,Bharatiya Momin Front
17,Umakant Yadav,2266,135,0.3%,Bahujan Mukti Party
