Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Hari Manjhi,326230,1423,40.3%,Bharatiya Janta Party
2,Ramji Manjhi,210726,1423,26.0%,Rashtriya Janata Dal
3,Jitan Ram Manjhi,131828,439,16.3%,Janata Dal (United)
4,Ashok Kumar,36863,146,4.6%,Jharkhand Mukti Morcha
5,Dr. Dev Kumar Choudhary,19651,126,2.4%,Independent
6,Shiv Kumar Kant,16028,119,2.0%,Bahujan Samaj Party
7,Kapil Choudhary,9004,110,1.1%,All India Trinamool Congress
8,Niranjan Kumar,7624,97,0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Bhuneswar Das,7549,97,0.9%,Rashtriya Ahinsa Manch
10,Dhananjay Kishore,7312,97,0.9%,Aam Aadmi Party
11,Mamta Kumari,6065,97,0.7%,Samajwadi Party
12,Shiv Shankar Kumar,5924,97,0.7%,Bharat Bhrashtachar Mitao Party
13,Indra Deo Choudhary,5544,97,0.7%,Bahujan Mukti Party
