Position,Candidate Name,Votes,MinSample,Votes %,Party
1,R. Radhakrishnan,255826,4400,34.6%,All India N.R. Congress
2,V. Narayanasamy,194972,4400,26.3%,Indian National Congress
3,M.V. Omalingam,132657,1000,17.9%,All India Anna Dravida Munnetra Kazhagam
4,A.M.H. Nazeem,60580,400,8.2%,Dravida Munetra Kazhagam
5,R.K.R. Anantharaman,22754,200,3.1%,Pattali Makkal Katchi
6,R. Viswanathan,12709,200,1.7%,Communist Party Of India
7,Dr. V. Rangarajan,8307,200,1.1%,Aam Aadmi Party
8,Sanjivganthi .S,5896,200,0.8%,Independent
9,P. Asaravel,3472,200,0.5%,Independent
10,Professor M. Ramadass,2494,200,0.3%,Independent
11,S. Krishnamoorthy,2060,200,0.3%,Bahujan Samaj Party
12,S. Ezhilarasan,1777,200,0.2%,Independent
13,G. Shanmugam,1726,200,0.2%,Independent
14,Ramamurthi,1442,200,0.2%,Independent
15,M. Chittibabu,1340,200,0.2%,Independent
16,S. Sudarsanan,1270,200,0.2%,Independent
17,K. Ramadass,1236,200,0.2%,Independent
18,J. Dhandapani,1144,200,0.2%,Independent
19,K. Manjini,767,200,0.1%,Independent
20,Kaliayamurthy,747,200,0.1%,Independent
21,V. Vijaya,746,200,0.1%,Independent
22,P. Bakkiaraj,610,200,0.1%,Independent
23,R. Valavan,497,200,0.1%,Independent
24,I. Senthil Kumar,477,200,0.1%,Independent
25,G. Sutha,467,200,0.1%,Independent
26,Puvala Nageswara Rao,465,200,0.1%,Independent
27,G. Palani,438,200,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
28,Marie Uthrianathan,366,200,0.0%,Samata Party
29,S. Chitrakala,309,200,0.0%,Janata Dal (United)
30,P. Dhanarasu @ Mathimaharaja,198,200,0.0%,Independent
