Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Nityanand Rai,317352,6400,36.9%,Bharatiya Janta Party
2,Alok Kumar Mehta,256883,6400,29.9%,Rashtriya Janata Dal
3,Ashwamedh Devi,119669,600,13.9%,Janata Dal (United)
4,Ram Deo Verma,53044,400,6.2%,Communist Party Of India (MARXIST)
5,Dharmendra Sahani,15198,200,1.8%,Bahujan Samaj Party
6,Shivani Umani,12520,200,1.5%,Janta Dal Rashtravadi
7,Jitendra Kumar Rai,11990,200,1.4%,Shiv Sena
8,Suresh Chaudhari,8917,200,1.0%,Aam Aadmi Party
9,Vindeshwari Sahni,7969,200,0.9%,Proutist Sarva Samaj
10,Mithilesh Kumar Jha,7810,200,0.9%,Jharkhand Mukti Morcha
11,Madhuri,7661,200,0.9%,Bahujan Mukti Party
12,Phool Babu Singh,6967,200,0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
13,Kishor Kumar,5669,200,0.7%,Rashtriya Lok Samta Party
14,Amrendra Kumar Yadav,5631,200,0.7%,Rashtriya Krantikari Samajwadi Party
15,Arjun Kumar Sah,4201,200,0.5%,Independent
16,Prem Lata Devi,3152,200,0.4%,Jai Prakash Janata Dal
17,Mintu Paswan,3098,200,0.4%,Independent
18,Md. Tahir Araman,2536,200,0.3%,Naya Daur Party
19,Prithivinath Prasad,2482,200,0.3%,Mahamukti Dal
