Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bhagwant Mann,533237,869,48.5%,Aam Aadmi Party
2,Sukhdev Singh Dhindsa,321516,869,29.2%,Shiromani Akali Dal
3,Vijay Inder Singla,181410,272,16.5%,Indian National Congress
4,Madan Bhatti,8408,83,0.8%,Bahujan Samaj Party
5,Sukhdev Ram Sharma,6934,83,0.6%,Communist Party Of India
6,Joti Devaji Ansuia,6831,83,0.6%,Independent
7,Jit Singh,5879,83,0.5%,Communist Party Of India (Marxist-Leninist) Red Star
8,Bijender,5395,83,0.5%,Independent
9,Karnail Singh,4127,83,0.4%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
10,Joginder Singh Aulakh,3315,83,0.3%,Communist Party Of India (MARXIST)
11,Dharam Singh,3292,83,0.3%,Independent
12,Gurpreet Singh,2746,83,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
13,Bhagwant Singh,2334,83,0.2%,Independent
14,Mahmood Ahmed Thind,2261,83,0.2%,Indian Union Muslim League
15,Manoj Kumar,1854,83,0.2%,Independent
16,Karam Singh,1599,83,0.1%,Independent
17,Jaswant Singh,1556,83,0.1%,Bahujan Mukti Party
18,Harinder Kumar,1485,83,0.1%,Independent
19,Sukhdev Singh,1233,83,0.1%,Independent
20,Gurdeep Singh,1069,83,0.1%,Democratic Bharatiya Samaj Party
21,Parveen Kaur,798,83,0.1%,Independent
