Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ananth Kumar,633816,796,56.9%,Bharatiya Janta Party
2,Nandan Nilekani,405241,796,36.4%,Indian National Congress
3,Ruth Manorama,25677,74,2.3%,Janata Dal (Secular)
4,Nina P Nayak,21403,74,1.9%,Aam Aadmi Party
5,Pramod Mutalik,4247,67,0.4%,Independent
6,Khan Abdul R,2747,67,0.2%,Bahujan Samaj Party
7,Prabhu,2325,67,0.2%,Independent
8,Yogesh,2061,67,0.2%,Independent
9,T.K. Dasar,929,67,0.1%,Independent
10,M. Umadevi,918,67,0.1%,Socialist Unity Centre Of India (COMMUNIST)
11,Ravikumara T,781,67,0.1%,Samajwadi Party
12,G. Venkatesh Bhovi,736,67,0.1%,Independent
13,Govindaiah B.R.,672,67,0.1%,Independent
14,T. E. Moses,604,67,0.1%,Independent
15,G.R. Shivashankar,586,67,0.1%,All India Forward Bloc
16,Shambulingegowda (GANDIVADI),581,67,0.1%,Independent
17,Dr. Pradeep Gadugesh,549,67,0.0%,Independent
18,Dr. Kodur Venkatesh,502,67,0.0%,Independent
19,Gayathri,484,67,0.0%,Pyramid Party Of India
20,Mahadeva Swamy. B. M,428,67,0.0%,Bharatiya Dr. B.R.Ambedkar Janta Party
21,N. Hanumegowda,414,67,0.0%,Independent
22,Syed Mehaboob,365,67,0.0%,Janata Dal (United)
23,Syed Rafiq Ahmed,246,67,0.0%,Independent
