Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ramesh Pokhriyal Nishank,592320,1487,50.4%,Bharatiya Janta Party
2,Renuka Rawat,414498,1487,35.3%,Indian National Congress
3,Haji Mohd Islam,113663,157,9.7%,Bahujan Samaj Party
4,Kanchan Choudhry,18170,88,1.5%,Aam Aadmi Party
5,Anita Saini,5765,80,0.5%,Samajwadi Party
6,Razia Beg,3741,80,0.3%,Independent
7,Ishwar Chand,3740,80,0.3%,Independent
8,Jai Singh,2769,80,0.2%,Independent
9,Asraf,2535,80,0.2%,Independent
10,D.D.Sharma,2067,80,0.2%,Independent
11,Brigadier Govind Prasad Barthwal Vsm,1888,80,0.2%,Independent
12,Abdul Aleem,1682,80,0.1%,Independent
13,Ramnaresh Yadav,1117,80,0.1%,Kalyankari Jantantrik Party
14,Mohar Singh Kataria,1051,80,0.1%,Independent
15,Vishal Chaudhary,1043,80,0.1%,Shiv Sena
16,Rakesh,1015,80,0.1%,Independent
17,Sanjay Goyal,915,80,0.1%,Naya Daur Party
18,Sunil,820,80,0.1%,Independent
19,Pramod Rana,765,80,0.1%,Independent
20,Anand Kumar Verma,710,80,0.1%,Hindustan Krantikari Dal
21,Mukesh Saini,664,80,0.1%,Bahujan Mukti Party
22,V. K. Kampani,637,80,0.1%,Poorvanchal Rashtriya Congress
23,Javed,614,80,0.1%,Akhil Bharatiya Muslim League  (Secular)
24,Pervez Aqil,454,80,0.0%,All India Minorities Front
