Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kaushlendra Kumar,321982,243044,34.9%,Janata Dal (United)
2,Satya Nand Sharma,312355,243044,33.9%,Lok Jan Shakti Party
3,Ashish Ranjan Sinha,127270,544,13.8%,Indian National Congress
4,Sanjay Kumar,23595,166,2.6%,Bahujan Samaj Party
5,Shashi Yadav,19477,157,2.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
6,Parnav Prakash,18224,157,2.0%,Aam Aadmi Party
7,Shailesh Kumar,15370,148,1.7%,Ati Picchara Party
8,Rakesh Ranjan Sinha,13381,148,1.5%,Republican Party Of India (A)
9,Dhirendra Kumar,8757,137,1.0%,Janvadi Party(Socialist)
10,Kaushal Kumar Kaushalendra Sinha Alias Bharat Manas,7472,137,0.8%,Independent
11,Lallu Ram,6788,123,0.7%,Bahujan Mukti Party
12,Awadh Kumar,6346,123,0.7%,Independent
13,Munna Prasad,6048,123,0.7%,Independent
14,Nayeb Ali,4613,123,0.5%,All India Trinamool Congress
15,Yogendra Prasad,4600,123,0.5%,Bharatiya Inqalab Party
16,Mahesh Paswan,4236,123,0.5%,Bharat Bhrashtachar Mitao Party
17,Naresh Prasad Singh,3620,123,0.4%,Independent
18,Pramod Kumar Nirala,2779,123,0.3%,Sankhyanupati Bhagidari Party
19,Vishwajit Kumar,2604,123,0.3%,Independent
20,Niraj Sharma,2342,123,0.3%,Rajnaitik Vikalp Party
21,Lata Sinha,2237,123,0.2%,Independent
22,Bhola Sao,2213,123,0.2%,Krantikari Vikas Dal
