x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Siddharth,458,"94,088",54.4%,Indian National Congress,
2,2,Anil Kumar,458,"49,777",28.8%,Bharatiya Janta Party,
3,3,Devendra Verma,80,"4,667",2.7%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Raj Kumar Yadav,73,"3,497",2.0%,Communist Party Of India,
5,5,Shambhu Prasad Sharma,66,"2,496",1.4%,Hindustan Vikas Dal,
6,6,Niraj Kumar,66,"2,495",1.4%,Independent,
7,7,Nagendra Kumar,66,"2,229",1.3%,Samras Samaj Party,
8,8,Munna Prasad,66,"1,976",1.1%,Bahujan Samaj Party,
9,9,Jitendra Paswan,66,"1,933",1.1%,Samajwadi Party,
10,10,Ramesh Kumar Sharma,66,"1,746",1.0%,Independent,
11,11,Surendra Yadav,66,"1,542",0.9%,Jan Adhikar Party (Loktantrik),
12,12,Vajrang Pratap Keshri,66,950,0.6%,Rashtriya Samanta Dal,
13,13,Dilip Kumar,66,690,0.4%,Independent,
14,14,Laliteshwar Kumar,66,538,0.3%,Bharatiya Bahujan Congress,
15,15,Ranjan Chaudhary,66,509,0.3%,Sarvajan Kalyan Loktantrik Party,
16,16,Shatrudhan Sah,66,464,0.3%,Independent,
17,17,Bindeshwar Prasad,66,428,0.3%,Pragatisheel Magahi Samaj,
18,18,Santosh Kumar,66,353,0.2%,Independent,
19,19,Parmanand Verma,66,346,0.2%,Lok Awaz Dal,
