x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Akhtarul Islam Shaheen,732,"82,508",54.6%,Rashtriya Janata Dal,
2,2,Renu Kumari,732,"51,428",34.0%,Bharatiya Janta Party,
3,3,Jitandar Chaudhary,73,"3,054",2.0%,Independent,
4,4,Surendra Prasad Singh,73,"2,361",1.6%,Communist Party Of India (Marxist-Leninist) (Liberation),
5,5,Ranjan Kishore Sharma,66,"2,131",1.4%,Independent,
6,6,Subhash Prasad Singh,66,"1,872",1.2%,Shiv Sena,
7,7,Avadhesh Kumar,66,"1,780",1.2%,Independent,
8,8,Allama Shibli Nomani Halami,66,"1,120",0.7%,Bahujan Samaj Party,
9,9,Upendra Sinha,66,870,0.6%,Bahujan Mukti Party,
10,10,Md. Iqbal Firoz,66,554,0.4%,Janta Dal Rashtravadi,
11,11,Subodh Kumar Prasad,66,542,0.4%,Rashtriya Pragati Party,
12,12,Poonam Devi,66,398,0.3%,Samajwadi Party,
13,13,Shad Ahmed,66,389,0.3%,Hind Congress Party,
14,14,Premjeet Kumar,66,381,0.3%,Akhil Bhartiya Mithila Party,
15,15,Vicky Kumar,66,272,0.2%,National Janta Party (Indian),
16,16,Ram Nath Prasad,66,258,0.2%,Garib Janta Dal (Secular),
17,17,Md. Tahir Arman,66,230,0.2%,Naya Daur Party,
