x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sudama Prasad,147011,"44,050",28.8%,Communist Party Of India (Marxist-Leninist) (Liberation),
2,2,Gita Pandey,147011,"43,778",28.6%,Lok Jan Shakti Party,
3,3,Akhilesh Prasad Singh,47137,"40,957",26.8%,Indian National Congress,
4,4,Lal Bihari Singh,278,"7,832",5.1%,Independent,
5,5,Vijay Singh,180,"2,736",1.8%,Independent,
6,6,Sanjay Rai,170,"2,425",1.6%,Shiv Sena,
7,7,Shri Bhagwan Singh,156,"1,391",0.9%,Sarvajan Kalyan Loktantrik Party,
8,8,Kumar Indubhushan,156,"1,136",0.7%,Samajwadi Party,
9,9,Ramakant Bhagat,139,953,0.6%,Independent,
10,10,Ajit Roy,139,890,0.6%,Independent,
11,11,Anil Kumar,139,869,0.6%,Gareeb Aadmi Party,
12,12,Kameshwar Singh,139,863,0.6%,Bahujan Samaj Party,
13,13,Nand Kishor Singh,139,670,0.4%,Bahujan Mukti Party,
14,14,Ravish Tiwari,139,594,0.4%,Independent,
