x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Awadhesh Singh,6800,"86,773",48.6%,Bharatiya Janta Party,
2,2,Jagannath Prasad Rai,6800,"74,578",41.8%,Indian National Congress,
3,3,Santosh Kanan,84,"3,542",2.0%,Independent,
4,4,Bijay Kumar Singh,84,"2,596",1.5%,Independent,
5,5,Sunita Devi,76,"2,086",1.2%,Bahujan Samaj Party,
6,6,Vasudev Prasad,76,"1,125",0.6%,Independent,
7,7,Nishant Gandhi,76,959,0.5%,Gareeb Aadmi Party,
8,8,Birendra Kumar Ray,76,793,0.4%,Jan Adhikar Party (Loktantrik),
9,9,Bisheshwar Prasad Yadav,76,776,0.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
10,10,Raj Kishor Ray,76,569,0.3%,Independent,
11,11,Ratenesh Kumar,76,494,0.3%,Independent,
12,12,Raj Kishore Prasad Rai,76,458,0.3%,Independent,
13,13,Ravindra Kumar,76,425,0.2%,Rashtriya Jankranti Party,
14,14,Jitendra Prasad Choudhary,76,403,0.2%,Sathi Aur Aapka Faisala Party,
15,15,Shantosh Kumar Singh,76,331,0.2%,Sarvajan Kalyan Loktantrik Party,
16,16,Prem Kumar Singh,76,320,0.2%,Independent,
