x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Madan Sahni,1979,"51,403",42.7%,Janata Dal (United),
2,2,Vinod Sahni,1979,"37,341",31.0%,Lok Jan Shakti Party,
3,3,Randhir Chaudhary,131,"6,218",5.2%,Independent,
4,4,Mohammad Nisar Alam,126,"5,725",4.8%,Independent,
5,5,Binod Kumar Mandal,100,"3,050",2.5%,Bahujan Samaj Party,
6,6,Prabhakar Thakur,100,"2,461",2.0%,Independent,
7,7,Asarfi Das,93,"1,665",1.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
8,8,Mohammad Ramij Alee Khan,93,"1,435",1.2%,Jan Adhikar Party (Loktantrik),
9,9,Tamanna Khan,82,"1,051",0.9%,Garib Janta Dal (Secular),
10,10,Anwar Ali Khan,82,"1,048",0.9%,Independent,
11,11,Nayan Kumar Priyadarshi,82,682,0.6%,Independent,
12,12,Md. Abdul Kalam,82,659,0.6%,Independent,
13,13,Khwaza Mohammad Fakhruddin,82,632,0.5%,Independent,
