x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mahboob Alam,2400,"62,513",31.7%,Communist Party Of India (Marxist-Leninist) (Liberation),
2,2,Barun Kumar Jha,2400,"42,094",21.3%,Bharatiya Janta Party,
3,3,Dulal Chandra Goswami,2000,"40,114",20.3%,Janata Dal (United),
4,4,Niranjan Das,400,"14,033",7.1%,Independent,
5,5,Hansraj Yadav,400,"9,473",4.8%,Shiv Sena,
6,6,Md. Adil Hasan,200,"6,375",3.2%,All India Majlis-E-Ittehadul Muslimoon,
7,7,Habibur Rahman,200,"3,884",2.0%,Nationalist Congress Party,
8,8,Azad Khan,200,"3,463",1.8%,Independent,
9,9,Md Mushtaque Alam,200,"2,897",1.5%,Janta Dal Rashtravadi,
10,10,Md. Ansar,200,"1,688",0.9%,Bahujan Samaj Party,
11,11,Md Saqulain Ahmed,200,"1,359",0.7%,Independent,
12,12,Shorab Ali,200,"1,326",0.7%,Ittehad-E-Millait Council,
13,13,Md Shakil,200,"1,265",0.6%,Garib Janta Dal (Secular),
14,14,Shyam Rishi,200,"1,184",0.6%,Indian Union Muslim League,
15,15,Md Noor Alam,200,"1,145",0.6%,Bharatiya Momin Front,
16,16,Md Shahid,200,843,0.4%,Vanchitsamaj Insaaf Party,
17,17,Gopal Ravidas,200,685,0.4%,Bahujan Mukti Party,
