x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Chandra Shekhar,698,"90,974",49.5%,Rashtriya Janata Dal,
2,2,"Vijay Kumar "" Bimal""",698,"53,332",29.0%,Bharatiya Janta Party,
3,3,Ashok Kumar,96,"6,833",3.7%,Jan Adhikar Party (Loktantrik),
4,4,Jyoti Mandal,90,"4,386",2.4%,Independent,
5,5,Ala Udin,82,"3,605",2.0%,Independent,
6,6,Vishal Kumar,82,"2,839",1.6%,Independent,
7,7,Ganesh Manav,82,"2,549",1.4%,Communist Party Of India (MARXIST),
8,8,Kapildev Paswan,74,"2,323",1.3%,Bahujan Samaj Party,
9,9,Vinod Kumar,74,"2,224",1.2%,Hind Congress Party,
10,10,Vijendra Yadav,74,"2,177",1.2%,Janta Dal Rashtravadi,
11,11,Manish Kumar,74,"1,516",0.8%,Bahujan Mukti Party,
12,12,Md. Ali,74,"1,464",0.8%,Independent,
13,13,Dinesh Yadav Urf Phogi,74,"1,438",0.8%,Garib Janta Dal (Secular),
14,14,Suresh Prasad Yadav,74,"1,229",0.7%,Independent,
15,15,Kameshwar Yadav,74,"1,193",0.7%,Bharatiya Jan Kranti Dal (Democratic),
16,16,Kamal Kumar,74,"1,072",0.6%,Sarvajan Kalyan Loktantrik Party,
17,17,Om Prakash Bharti,74,863,0.5%,Maanavvaadi Janta Party,
18,18,Md. Tahir,74,798,0.4%,The National Road Map Party Of India,
