x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Nand Kishore Yadav,87770,"88,108",46.9%,Bharatiya Janta Party,
2,2,Santosh Mehta,87770,"85,316",45.4%,Rashtriya Janata Dal,
3,3,Nandu Kumar,89,"2,694",1.4%,Shiv Sena,
4,4,Virendra Thakur,81,"1,857",1.0%,Revolutionary Socialist Party,
5,5,Anay Kumar Alias Anay Mehta,79,"1,710",0.9%,Communist Party Of India (Marxist-Leninist) (Liberation),
6,6,Vijay Sah,79,"1,595",0.9%,Independent,
7,7,Arshad Ayub,79,"1,082",0.6%,Bahujan Samaj Party,
8,8,Mithilesh Kumar,79,"1,019",0.5%,Independent,
9,9,Rajendra Mistri,79,738,0.4%,All India Forward Bloc,
10,10,Nandita Raj Lakshmi,79,448,0.2%,Sarvajan Kalyan Loktantrik Party,
11,11,Imranul Hoda,79,409,0.2%,Samajwadi Party,
12,12,Munni Devi,79,400,0.2%,Krantikari Vikas Dal,
13,13,Om Prakash Yadav,79,329,0.2%,Rastriya Sadabahar Party,
14,14,Jitendra Kumar,79,311,0.2%,Gareeb Aadmi Party,
15,15,Irshad Hussain,79,278,0.2%,Rashtriya Samanta Dal,
16,16,Gopi Krishna Kushwaha,79,277,0.2%,Lok Awaz Dal,
