x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Santosh Kumar Nirala,835,"84,184",48.0%,Janata Dal (United),
2,2,Bishawnath Ram,835,"51,396",29.3%,Bharatiya Janta Party,
3,3,Lalji Ram,152,"17,031",9.7%,Bahujan Samaj Party,
4,4,Ajad Paswan,99,"5,540",3.2%,Suheldev Bhartiya Samaj Party,
5,5,Raj Bali Ram,85,"3,495",2.0%,Independent,
6,6,Surendra Paswan,85,"2,940",1.7%,Independent,
7,7,Ramashanker Ram,76,"2,143",1.2%,Communist Party Of India (Marxist-Leninist) (Liberation),
8,8,Anand Bardhan,76,"1,376",0.8%,Jan Adhikar Party (Loktantrik),
9,9,Manoj Kumar Ram,76,"1,302",0.7%,Independent,
10,10,Jagdish Paswan Alias Jagdish Ram,76,717,0.4%,Independent,
11,11,Chhedi Lal Ram,76,614,0.4%,Samajwadi Party,
12,12,Virendra Kumar,76,518,0.3%,Shiv Sena,
13,13,Niwas Ram Dusadh,76,500,0.3%,Bahujan Mukti Party,
14,14,Manoj Kumar,76,424,0.2%,Jharkhand Mukti Morcha,
15,15,Tarkeshwar Paswan,76,415,0.2%,Garib Janta Dal (Secular),
