x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shyam Rajak,600,"94,094",49.8%,Janata Dal (United),
2,2,Rajeshwar Manjhi,600,"48,381",25.6%,Hindustani Awam Morcha (Secular),
3,3,Jay Prakash Paswan,200,"11,188",5.9%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Tribhuwan Ravidas,200,"3,380",1.8%,Bahujan Samaj Party,
5,5,Manti Das,200,"3,326",1.8%,Independent,
6,6,Babita Devi,200,"3,217",1.7%,Independent,
7,7,Kailash Paswan,200,"2,337",1.2%,Rashtriya Jagriti Party,
8,8,Ujjawal Kant Hunkar,200,"2,320",1.2%,Sarvajan Kalyan Loktantrik Party,
9,9,Uday Kumar,200,"2,312",1.2%,Samajwadi Party,
10,10,Mishri Ram,200,"2,033",1.1%,Ittehad-E-Millait Council,
11,11,Shyam Chaudhary,200,"2,018",1.1%,Independent,
12,12,Ram Tirth Paswan,200,"2,011",1.1%,Samras Samaj Party,
13,13,Shankar Chaudhary,200,"1,791",1.0%,Lok Awaz Dal,
14,14,Rajendra Chaudhary,200,"1,697",0.9%,Bahujan Nyay Dal,
15,15,Shankar Kumar,200,"1,506",0.8%,Independent,
16,16,Deepak Kumar,200,"1,401",0.7%,Gareeb Aadmi Party,
17,17,Krishna Paswan,200,"1,303",0.7%,Bhartiya Kranti Vir Party,
18,18,Vidhan Chandra Rana,200,"1,263",0.7%,National Jagaran Party,
19,19,Sajan Kumar,200,"1,226",0.7%,Independent,
