"Position","Candidate Name","Votes","Votes %","Party"
1,Shyama Charan Gupta,313772,35.2%,Bharatiya Janta Party
2,Kunwar Rewati Raman Singh Alias Mani,251763,28.2%,Samajwadi Party
3,Keshri Devi,162073,18.2%,Bahujan Samaj Party
4,Nand Gopal Gupta Nandi,102453,11.5%,Indian National Congress
5,Draupadi Devi,8321,0.9%,Independent
6,Adarsh Shastri,6439,0.7%,Aam Aadmi Party
7,Mohd. Ameen Azhar Ansari,4426,0.5%,Quami Ekta Dal
8,Shiv Prasad Agrahari,4323,0.5%,Independent
9,Mahendra Kumar,4190,0.5%,Bahujan Mukti Party
10,Parmanand,3744,0.4%,Independent
11,Ajeet Kumar,3388,0.4%,Independent
12,Sanjay Robinson,3315,0.4%,Naitik Party
13,Shyam Charan,2593,0.3%,Independent
14,Wahid Ali Alias Wajid Ali,2332,0.3%,Rashtriya Ulama Council
15,Nistha Dev Maurya,2181,0.2%,Pragatisheel Samaj Party
16,Shyam Sundar Das,2115,0.2%,Sanatan Sanskriti Raksha Dal
17,Hansraj,1928,0.2%,Independent
18,Rajendra Prasad,1730,0.2%,Kalyankari Jantantrik Party
19,Hira Lal,1711,0.2%,Independent
20,Brijesh Kumar,1438,0.2%,Independent
21,Gaytri Prasad,1293,0.1%,Bhartiya Shakti Chetna Party
22,Chandra Prakash Tiwari Alias C. P. Tiwari (ADVOCATE),1221,0.1%,Bharatiya Kisan Sena Loktantrik
23,Shailendra Kumar Prajapati,1212,0.1%,Independent
