"Position","Candidate Name","Votes","Votes %","Party"
1,Ravindra Kr. Ray,365410,35.7%,Bharatiya Janta Party
2,Rajkumar Yadav,266756,26.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
3,Pranav Kumar Verma,160638,15.7%,Jharkhand Vikas Morcha (Prajatantrik)
4,Tilakdhari Pd Singh,60330,5.9%,Indian National Congress
5,Najrul Hassan Hashmi,25522,2.5%,Ajsu Party
6,Kanchan Kumari,20669,2.0%,Independent
7,Krishna Singh,18727,1.8%,Janata Dal (United)
8,Manju Kumari,12785,1.2%,All India Trinamool Congress
9,Bisheshwar Prasad,12459,1.2%,Bahujan Samaj Party
10,Vijay Kumar Chourasiya,11880,1.2%,Aam Aadmi Party
11,Shivanath Sav,11117,1.1%,Independent
12,Jaideo Chaudhary,7838,0.8%,Samajwadi Party
13,Raghunandan Prasad Vishwakarma,6992,0.7%,All India Forward Bloc
14,Dr. Suraj Mandal,6966,0.7%,Jharkhand Vikas Dal
15,Rameshwar Prasad Yadav,6334,0.6%,Independent
16,Mahendra Ravidas,6141,0.6%,Bahujan Mukti Party
17,Phaljit Mahto,5996,0.6%,Independent
18,Yogendra Ram,4516,0.4%,Akhil Bharatiya Jan Sangh
19,Md. Jalil Ansari,4245,0.4%,National Loktantrik Party
20,Manoj Kumar,2873,0.3%,Independent
