"Position","Candidate Name","Votes","Votes %","Party"
1,Khadase Raksha Nikhil,605452,60.0%,Bharatiya Janta Party
2,Manishdada Jain,287384,28.5%,Nationalist Congress Party
3,Bhande Dashrath Motiram,29752,2.9%,Bahujan Samaj Party
4,Dr. Ulhas Vasudeo Patil,21332,2.1%,Independent
5,Manishdada Satish Jain,14599,1.4%,Independent
6,Mohan Shamrao Chavhan (MANOJSIR VARDIKAR),8797,0.9%,Independent
7,Khatik Mohammad Haroon,4376,0.4%,Samajwadi Party
8,Shaikh Shakir,4009,0.4%,Independent
9,Rajeev Satyendra Sharma,3756,0.4%,Aam Aadmi Party
10,Zagadya Purmya Pawara,3707,0.4%,Independent
11,D.D.Wani (PHOTOGRAPHER) (DNYANESHWAR DIVAKAR WANI),3349,0.3%,Independent
12,Govinda Narayan Gunjal,2844,0.3%,Independent
13,Kadri Saniya Saiyed Ali,2658,0.3%,Independent
14,Wamanrao Madhav Sasane,1757,0.2%,Bahujan Mukti Party
15,J.G.Surwade,1634,0.2%,Independent
16,Manyar She. Sajid She. Kadar,1606,0.2%,Minorities Democratic Party
17,Shaikh Shahera Bi. Jainoddin Shaikh,1375,0.1%,Independent
18,Suresh Hiraman Ingale,1258,0.1%,Independent
19,Dnyaneshwar Amale-Patil,1220,0.1%,All India Forward Bloc
20,Gaikwad Bhagwan Madhav,1206,0.1%,Prabuddha Republican Party
21,Ashok Tryambak Ingale,1131,0.1%,Independent
22,Sonawane Vandana Shivaji,978,0.1%,Independent
23,Shaikh Mo. Asgar Sakhawat,821,0.1%,Republican Party Of India
