"Position","Candidate Name","Votes","Votes %","Party"
1,Tariq Anwar,431292,44.1%,Nationalist Congress Party
2,Nikhil Kumar Choudhary,316552,32.4%,Bharatiya Janta Party
3,Dr. Ram Prakash Mahto,100765,10.3%,Janata Dal (United)
4,Baleshwar Marandi,33593,3.4%,Jharkhand Mukti Morcha
5,Ashok Ku Bhagat,15547,1.6%,Independent
6,Kanhai Mandal,10516,1.1%,Independent
7,Mahbub Alam,9461,1.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Ashok Kumar,9000,0.9%,Independent
9,Mahammad Hamid Mobarak,8392,0.9%,All India Trinamool Congress
10,Nalini Mandal,7969,0.8%,Independent
11,Md. Tariq Anwar,4514,0.5%,Independent
12,Suresh Ray,4450,0.5%,Rashtravadi Janata Party
13,Bibhaker Jha @ Victor Jha,4323,0.4%,Aam Aadmi Party
14,Fulmani Hembram,3096,0.3%,Bharat Vikas Morcha
15,Shivendra Kumar,2685,0.3%,Bahujan Samaj Party
16,Satyanarayan Bhagat,2550,0.3%,Proutist Sarva Samaj
17,Abdur Rahman,2489,0.3%,Bharatiya Momin Front
18,Raj Kumar Mandal,2141,0.2%,Independent
19,Mahesh Mandal,1980,0.2%,Bahujan Mukti Party
20,Sanjay Singh,1675,0.2%,Independent
21,Md. Iqbal Ahmad,1553,0.2%,Samajwadi Janata Party (RASHTRIYA)
