"Position","Candidate Name","Votes","Votes %","Party"
1,Narendra Singh Tomar,442796,44.7%,Bharatiya Janta Party
2,Ashok Singh,413097,41.7%,Indian National Congress
3,Alok Sharma,68196,6.9%,Bahujan Samaj Party
4,Neelam Agrwal,11510,1.2%,Aam Aadmi Party
5,Akhilesh Yadav,10297,1.0%,Communist Party Of India (MARXIST)
6,Balwant Singh Kushwah Advocate,5327,0.5%,Samajwadi Party
7,Asif Khan,4969,0.5%,Independent
8,C.L. Karodiya (PRIJAPATI),4719,0.5%,Jan-Nyay Dal
9,Narayan Singh Kushwah,3963,0.4%,Independent
10,Captan Babu Lal Goswami,2659,0.3%,Independent
11,Hiraday Narayan Singh Tomar (GUDDU),2244,0.2%,Akhil Bharat Hindu Mahasabha
12,Deepak Kumar Bansal Rangwale (PRERAK),2122,0.2%,Independent
13,Shiv Singh Kushawah,2101,0.2%,Mahanwadi Party
14,Comrade Sunil Gopal,2054,0.2%,Socialist Unity Centre Of India (COMMUNIST)
15,Prajesh Choudhary,1981,0.2%,Independent
16,Ram Pathwar Kori (RAMSEBAK),1687,0.2%,Independent
17,K. P. Kamte,1607,0.2%,Bharatiya Rashtriya Mazdoor Dal
18,Madan Mohan Urf Mohan Singh Tomar,1477,0.1%,Bhartiya Jan Yug Party
19,Kishan Lal Kushwah,1412,0.1%,Rashtriya Samanta Dal
20,Vikas Sharma,1408,0.1%,Bharatiya Navyuvak Party
21,Geeta Rajput,1067,0.1%,Al-Hind Party
